Funds,Fund_Manager,Category,AUM_Cr,Expense_Ratio,Fund_Type,Inception_Date,Benchmark_Index,Return_1M,Return_3M,Return_6M,Return_1Y,Return_2Y,Return_3Y,Return_5Y,Return_10Y,Large_Cap,Mid_Cap,Small_Cap,Highest_Sector,Alpha,Sharpe,Sortino,Beta,Standard_Deviation,Fund_Age_Years,Avg_Return,Expense_vs_Return_1Y,AUM_Category,Return_to_Expense,Risk_Category,Return_to_Risk,Positive_Alpha_Beta_Less1,Risk_Adjusted_Performance,High_Expense_Low_Return,High_NAV_Volatility,Top_Performer,Young_Fund,Efficient_Fund,ShortTerm_Return,LongTerm_Return
Mirae Asset Elss Tax Saver Fund Reg(G),Neelesh Surana,Eq Elss,25315.2,1.56,Open Ended,28-12-2015,Nifty 500 Tri,-1.09,-6.16,0.99,17.2,22.59,14.78,19.68,,63.98,14.36,21.02,Financials,8.72,0.94,1.37,0.94,14.27,9.81,17.22,0.09,Mega,11.03,Medium,1.04,TRUE,1.16,0,1,1,0,1,-2.09,17.23
Mirae Asset Equity Allocator Fof Reg(G),Bharti Sawant,Fof Dom,865.1,0.12,Open Ended,21-09-2020,Nifty 200 Tri,-1.12,-7.74,-1.15,15.18,21.04,15.31,,,,,, ,4.23,0.79,1.14,2.48,14.53,5.07,15.24,0.01,Large,126.5,Medium,1.05,FALSE,0.96,0,1,1,0,1,-3.34,15.31
Mirae Asset Equity Savings Fund Reg(G),Harshad Borawake,Hy Eq,1374.1,1.31,Open Ended,17-12-2018,Nifty 50 Equity Savings Index,0.2,-1.21,3.05,11.52,13.01,9.89,11.67,,50.5,8.87,7.26,Financials,4.56,1.32,1.94,0.92,5.5,6.84,11.03,0.11,Large,8.79,Medium,1.8,TRUE,1.63,0,0,0,0,1,0.68,10.78
Mirae Asset Flexi Cap Fund Reg(G),Varun Goel,Eq Flex,2455.2,1.97,Open Ended,24-02-2023,Nifty 500 Tri,0.25,-4.17,2.02,17.76,,,,,60.38,13.23,23.27,Financials,8.97,0.95,1.37,0.94,14.44,2.64,17.76,0.11,Mega,9.02,Medium,,TRUE,1.16,0,1,1,1,1,-0.63,
Mirae Asset Focused Fund Reg(G),Gaurav Misra,Eq Mlc,8286.6,1.75,Open Ended,14-05-2019,Nifty 500 Tri,-0.14,-3.8,6.82,16.59,17.14,8.73,16.48,,37.17,31.22,25.97,Financials,8.39,0.97,1.46,0.81,12.89,6.43,13.93,0.11,Mega,9.48,Medium,0.68,TRUE,1.21,0,1,1,0,1,0.96,12.6
Mirae Asset Global Electric & Autonomous Vehicles Etfs Fof Reg(G),Siddharth Srivastava,Fof Ovr,61.4,0.53,Open Ended,07-09-2022,Solactive Autonomous & Electric Vehicles Index Tri,-0.18,0.47,4.62,-3.78,5.13,,,,,,, ,-9.95,-0.27,-0.46,1.38,21.68,3.11,-3.78,-0.14,Small,-7.13,High,,FALSE,-0.36,1,1,0,1,0,1.64,
Mirae Asset Global X Artificial Intelligence & Technology Etf Fof Reg(G),Siddharth Srivastava,Fof Ovr,325.6,0.4,Open Ended,07-09-2022,Indxx Artificial Intelligence & Big Data Index Tri,0.85,6.14,11.1,27.41,40.51,,,,,,, ,21.62,1.18,1.91,0.62,19.76,3.11,27.41,0.01,Mid,68.52,High,,TRUE,1.54,0,1,1,1,1,6.03,
Mirae Asset Gold Etf,Ritesh Patel,Gold Etf,456.9,0.34,Open Ended,20-02-2023,Gold India,-0.72,0.75,5.74,19.26,,,,,,,, ,14.59,1.19,1.8,0.09,12.47,2.65,19.26,0.02,Mid,56.65,Medium,,TRUE,1.5,0,1,1,1,1,1.92,
Mirae Asset Gold Etf Fof Reg(G),Ritesh Patel,Gold Etf,22.7,0.63,Open Ended,25-10-2024,Gold India,-0.15,,,,,,,,,,, ,,,,,,0.98,,,Small,,,,FALSE,,0,0,0,1,0,-0.15,
Mirae Asset Great Consumer Fund Reg(G),Ankit Jain,Eq Cons,4156.1,1.84,Open Ended,29-03-2011,Nifty India Consumption Tri,-0.08,-10.49,2.59,18.11,26.43,19.52,20.19,15.95,63.03,10.54,25.83,Fmcg,10.13,1.1,1.85,0.67,12.29,14.56,18.44,0.1,Mega,9.84,Medium,1.59,TRUE,1.48,0,1,1,0,1,-2.66,18.55
Mirae Asset Hang Seng Tech Etf,Siddharth Srivastava,Eq Etf,305.9,0.61,Open Ended,07-12-2021,Hang Seng Tech Tri,4.09,-4.01,29.74,23.24,4.82,-3.69,,,,,, ,18.6,0.68,1.2,1.9,36.72,3.86,9.77,0.03,Mid,38.1,High,-0.1,FALSE,0.94,0,1,0,1,1,9.94,-3.69
Mirae Asset Hang Seng Tech Etf Fof Reg(G),Ekta Gala,Fof Ovr,82.2,0.53,Open Ended,08-12-2021,Hang Seng Tech Tri,-1.81,0.42,29.75,30,10.61,-0.11,,,,,, ,27.17,0.87,1.65,0.7,33.86,3.86,14.94,0.02,Small,56.6,High,0,TRUE,1.26,0,1,1,1,1,9.45,-0.11
Mirae Asset Healthcare Fund Reg(G),Vrijesh Kasera,Eq Phrm,2742.9,1.93,Open Ended,02-07-2018,Bse Health Care Tri,4.5,1.54,21.31,39.3,37.34,18.35,29.36,,35.26,38.03,26.25,Healthcare,28.55,2.36,4.33,0.45,13.05,7.3,29,0.05,Mega,20.36,Medium,1.41,TRUE,3.34,0,1,1,0,1,9.12,23.86
Mirae Asset Large & Midcap Fund Reg(G),Neelesh Surana,Eq L&M,38680.3,1.53,Open Ended,09-07-2010,Nifty Largemidcap 250 Tri,-1.01,-7.04,-0.93,15.58,22.72,14.28,20.2,17.86,53.77,27.89,17.91,Financials,7.23,0.8,1.16,0.95,14.98,15.28,16.98,0.1,Mega,10.18,Medium,0.95,TRUE,0.98,0,1,1,0,1,-2.99,17.45
Mirae Asset Large Cap Fund Reg(G),Gaurav Misra,Eq Lc,39554.8,1.52,Open Ended,04-04-2008,Nifty 100 Tri,-1.48,-7.14,0.23,13.13,16.25,11.34,14.72,13.15,80.44,11.68,7.27,Financials,4.61,0.7,1.05,0.93,13.3,17.55,13.08,0.12,Mega,8.64,Medium,0.85,TRUE,0.88,0,1,0,0,1,-2.8,13.07
Mirae Asset Liquid Fund Reg(G),Abhishek Iyer,Dt Liq,15672.8,0.2,Open Ended,12-01-2009,Nifty Liquid Fund Index,0.59,1.75,3.55,7.35,7.17,6.4,5.32,6.21,,,, ,0.73,10.47,5.51,,0.07,16.77,6.32,0.03,Mega,36.75,Low,91.43,FALSE,7.99,0,0,0,0,1,1.96,5.98
Mirae Asset Long Duration Fund Reg(G),Kruti Chheta,Dt Ld,,,Open Ended,06-12-2024,Crisil Long Duration Debt Index,,,,,,,,,,,, ,,,,,,0.86,,,,,,,FALSE,,0,0,0,1,0,,
Mirae Asset Low Duration Fund Reg Savings Plan(G),Basant Bafna,Dt Lowd,1163.7,0.85,Open Ended,05-03-2008,Nifty Low Duration Debt Index,0.61,1.69,3.59,7.35,6.98,5.97,5.52,5.96,,,, ,3.1,10.25,20.29,0.07,0.32,17.63,6.2,0.12,Large,8.65,Low,18.66,TRUE,15.27,0,0,0,0,1,1.96,5.82
Mirae Asset Midcap Fund Reg(G),Ankit Jain,Eq Mid,16695.4,1.67,Open Ended,29-07-2019,Nifty Midcap 150 Tri,-0.04,-6.75,0.11,19.09,27.24,19.43,25.33,,11.14,58.22,29.92,Financials,11.14,0.98,1.43,0.87,15.87,6.22,21.28,0.09,Mega,11.43,High,1.22,TRUE,1.2,0,1,1,0,1,-2.23,22.38
Mirae Asset Money Market Fund Reg(G),Amit Modani,Dt Mm,1585.3,0.43,Open Ended,11-08-2021,Nifty Money Market Index,0.62,1.78,3.67,7.49,7.13,6.21,,,,,, ,3.35,10.92,22.26,0.03,0.32,4.18,6.85,0.06,Large,17.42,Low,19.41,TRUE,16.59,0,0,0,1,1,2.02,6.21
Mirae Asset Multi Asset Allocation Fund Reg(G),Harshad Borawake,Hy Multi,1755.9,2.01,Open Ended,31-01-2024,Nifty 500 Tri,-0.23,-2.57,2.32,,,,,,49.09,7.89,9.2,Financials,,,,,,1.71,,,Large,,,,FALSE,,0,0,0,1,0,-0.16,
Mirae Asset Multicap Fund Reg(G),Ankit Jain,Eq Mlc,3437.3,1.88,Open Ended,21-08-2023,Nifty500 Multicap 50 - 25 - 25 Tri,-0.78,-5.33,0.58,16.94,,,,,45.65,17.26,36.32,Financials,8.87,0.91,1.31,0.88,14.69,2.16,16.94,0.11,Mega,9.01,Medium,,TRUE,1.11,0,1,1,1,1,-1.84,
Mirae Asset Nifty 100 Esg Sector Leaders Etf,Ekta Gala,Eq Etf,125,0.41,Open Ended,18-11-2020,Nifty100 Esg Sector Leaders Tri,-1.66,-8.31,-1.43,12.19,16.04,11.12,,,96.56,3.46,,Financials,3.96,0.61,0.94,0.99,13.96,4.91,11.66,0.03,Mid,29.73,Medium,0.8,TRUE,0.77,0,1,0,1,1,-3.8,11.12
Mirae Asset Nifty 100 Esg Sector Leaders Fof Reg(G),Ekta Gala,Fof Dom,101,0.42,Open Ended,18-11-2020,Nifty100 Esg Sector Leaders Tri,-1.75,-8.44,-1.45,11.71,15.42,10.46,,,,,, ,1.61,0.59,0.9,2.19,13.62,4.91,11.08,0.04,Mid,27.88,Medium,0.77,FALSE,0.74,0,1,0,1,1,-3.88,10.46
Mirae Asset Nifty 100 Low Volatility 30 Etf,Ekta Gala,Eq Etf,27.1,0.24,Open Ended,24-03-2023,Nifty100 Low Volatility 30 Tri,-0.48,-10.01,0.75,12.35,,,,,96.46,3.44,,Fmcg,5.19,0.74,1.27,0.7,11.43,2.57,12.35,0.02,Small,51.46,Medium,,TRUE,1,0,1,0,1,1,-3.25,
Mirae Asset Nifty 1D Rate Liquid Etf(G),Amit Modani,Dt Etf,85.7,0.14,Open Ended,07-11-2024,Nifty 1D Rate Index,0.54,,,,,,,,,,, ,,,,,,0.94,,,Small,,,,FALSE,,0,0,0,1,0,0.54,
Mirae Asset Nifty 1D Rate Liquid Etf(Idcw),Amit Modani,Dt Etf,443.7,0.28,Open Ended,27-07-2023,Nifty 1D Rate Index,0.52,1.55,3.12,6.35,,,,,,,, ,0.1,2.9,0.66,,0.03,2.22,6.35,0.04,Mid,22.68,Low,,FALSE,1.78,0,0,0,1,1,1.73,
Mirae Asset Nifty 200 Alpha 30 Etf,Ekta Gala,Eq Etf,356.1,0.4,Open Ended,20-10-2023,Nifty200 Alpha 30 Tri,0.57,-8.28,-4.25,26.8,,,,,63.47,36.54,,Automobile And Ancillaries,17.24,0.97,1.41,1.3,23.9,1.99,26.8,0.01,Mid,67,High,,FALSE,1.19,0,1,1,1,1,-3.99,
Mirae Asset Nifty 50 Etf,Ekta Gala,Eq Etf,3953.3,0.04,Open Ended,20-11-2018,Nifty 50 Tri,-1.61,-7.82,-1.24,10.39,16.49,12.92,15.67,,98.74,1.25,,Financials,2.32,0.5,0.76,0.99,13.91,6.91,12.99,0,Mega,259.75,Medium,0.93,TRUE,0.63,0,1,0,0,1,-3.56,14.3
Mirae Asset Nifty 50 Index Fund Reg(G),Ekta Gala,Eq Indx,12.2,0.75,Open Ended,24-10-2024,Nifty 50 Tri,-1.69,,,,,,,,98.63,1.24,,Financials,,,,,,0.98,,,Small,,,,FALSE,,0,0,0,1,0,-1.69,
Mirae Asset Nifty 8 13 Yr G Sec Etf,Amit Modani,Dt Etf,86.9,0.1,Open Ended,31-03-2023,Nifty 8 13 Yr G Sec,0.41,1.04,4.84,9.5,,,,,,,, ,1.89,2.49,4.41,1.11,2.09,2.55,9.5,0.01,Small,95,Low,,FALSE,3.45,0,0,0,1,1,2.1,
Mirae Asset Nifty Aaa Psu Bond Plus Sdl Apr 2026 50 - 50 Index Fund Reg(G),Amit Modani,Dt B&Psu,93.6,0.33,Open Ended,20-10-2022,Nifty Aaa Bond Plus Sdl Apr 2026 50 - 50 Index,0.57,1.64,3.68,7.55,7.17,,,,,,, ,3.05,7.38,16.6,0.15,0.47,2.99,7.55,0.04,Small,22.88,Low,,TRUE,11.99,0,0,0,1,1,1.96,
Mirae Asset Nifty Bank Etf,Ekta Gala,Eq Etf,217.7,0.09,Open Ended,20-07-2023,Nifty Bank Tri,-1.93,-3.55,-2.69,6.67,,,,,86.43,13.58,,Financials,-1.21,0.22,0.33,1.08,17.44,2.24,6.67,0.01,Mid,74.11,High,,FALSE,0.28,0,1,0,1,1,-2.72,
Mirae Asset Nifty Ev And New Age Automotive Etf,Ekta Gala,Eq Etf,158.5,0.45,Open Ended,10-07-2024,Nifty Ev And New Age Automotive Tri,-1.99,-14.43,,,,,,,51.57,34.32,14.1,Automobile And Ancillaries,,,,,,1.27,,,Mid,,,,FALSE,,0,1,0,1,0,-8.21,
Mirae Asset Nifty Financial Services Etf,Ekta Gala,Eq Etf,270.8,0.12,Open Ended,30-07-2021,Nifty Financial Services Tri,-1.64,-3.5,0.18,10.97,13.15,12.36,,,95.6,3.62,0.77,Financials,2.72,0.45,0.66,1.09,17.2,4.22,11.66,0.01,Mid,91.42,High,0.72,FALSE,0.56,0,1,0,1,1,-1.65,12.36
Mirae Asset Nifty India Manufacturing Etf,Ekta Gala,Eq Etf,215.2,0.45,Open Ended,27-01-2022,Nifty India Manufacturing Tri,-1.39,-11.2,-5.35,26.09,30.53,,,,70.28,25.95,3.75,Automobile And Ancillaries,16.25,1.26,1.93,0.96,16.42,3.72,26.09,0.02,Mid,57.98,High,,TRUE,1.6,0,1,1,1,1,-5.98,
Mirae Asset Nifty India Manufacturing Etf Fof Reg(G),Ekta Gala,Fof Dom,113.6,0.45,Open Ended,31-01-2022,Nifty India Manufacturing Tri,-1.45,-11.21,-5.65,25.44,29.84,,,,,,, ,13.46,1.24,1.87,2.31,16.25,3.71,25.44,0.02,Mid,56.53,High,,FALSE,1.56,0,1,1,1,1,-6.1,
Mirae Asset Nifty India New Age Consumption Etf,Ekta Gala,Eq Etf,,,Open Ended,26-12-2024,Nifty India New Age Consumption Tri,,,,,,,,,,,, ,,,,,,0.81,,,,,,,FALSE,,0,0,0,1,0,,
Mirae Asset Nifty India New Age Consumption Etf Fof Reg(G),Ekta Gala,Fof Dom,,,Open Ended,,Nifty India New Age Consumption Tri,,,,,,,,,,,, ,,,,,,,,,,,,,FALSE,,0,0,0,0,0,,
Mirae Asset Nifty It Etf,Ekta Gala,Eq Etf,162,0.1,Open Ended,20-10-2023,Nifty It Tri,0.51,2.75,18.44,23.74,,,,,83.86,16.15,,Technology,16.46,1.02,1.87,0.74,19.46,1.99,23.74,0,Mid,237.4,High,,TRUE,1.44,0,1,1,1,1,7.23,
Mirae Asset Nifty Largemidcap 250 Index Fund Reg(G),Ekta Gala,Eq Indx,12.2,0.87,Open Ended,24-10-2024,Nifty Largemidcap 250 Tri,-0.18,,,,,,,,51.19,45.23,3.41,Financials,,,,,,0.98,,,Small,,,,FALSE,,0,0,0,1,0,-0.18,
Mirae Asset Nifty Metal Etf,Ekta Gala,Eq Etf,30,0.27,Open Ended,03-10-2024,Nifty Metal Tri,-4.16,,,,,,,,72.06,23.47,4.41,Metals,,,,,,1.04,,,Small,,,,FALSE,,0,0,0,1,0,-4.16,
Mirae Asset Nifty Midcap 150 Etf,Ekta Gala,Eq Etf,940.4,0.05,Open Ended,09-03-2022,Nifty Midcap 150 Tri,1.62,-5,1.24,24.24,34.48,,,,6.44,86.74,6.77,Financials,15.6,1.14,1.64,0.96,17.54,3.61,24.24,0,Large,484.8,High,,TRUE,1.39,0,1,1,1,1,-0.71,
Mirae Asset Nifty Midsmallcap400 Momentum Quality 100 Etf,Ekta Gala,Eq Etf,299.2,0.4,Open Ended,22-05-2024,Nifty Midsmallcap400 Momentum Quality 100 Tri,-0.04,-5.49,-1.5,,,,,,11.33,65.43,23.21,Capital Goods,,,,,,1.4,,,Mid,,,,FALSE,,0,1,0,1,0,-2.34,
Mirae Asset Nifty Midsmallcap400 Momentum Quality 100 Etf Fof Reg(G),Ekta Gala,Fof Dom,208.6,0.72,Open Ended,30-05-2024,Nifty Midsmallcap400 Momentum Quality 100 Tri,0.03,-5.34,-0.86,,,,,,,,, ,,,,,,1.38,,,Mid,,,,FALSE,,0,0,0,1,0,-2.06,
Mirae Asset Nifty Next 50 Etf,Ekta Gala,Eq Etf,448.5,0.05,Open Ended,24-01-2020,Nifty Next 50 Tri,-3.41,-11.52,-5.12,28.53,28.45,18.47,,,88.21,11.76,,Financials,18.24,1.17,1.69,1.14,20.15,5.73,23.5,0,Mid,570.6,High,0.92,FALSE,1.43,0,1,1,0,1,-6.68,18.47
Mirae Asset Nifty Psu Bank Etf,Ekta Gala,Eq Etf,45.8,0.18,Open Ended,01-10-2024,Nifty Psu Bank Tri,-3.93,-3.26,,,,,,,62.21,37.78,,Financials,,,,,,1.04,,,Small,,,,FALSE,,0,0,0,1,0,-3.6,
Mirae Asset Nifty Sdl Jun 2027 Index Fund Reg(G),Amit Modani,Dt M&Ld,802.6,0.33,Open Ended,30-03-2022,Nifty Sdl Jun 2027 Index,0.55,1.51,3.94,8.38,7.61,,,,,,, ,3.4,5.13,11.04,0.25,0.81,3.55,8.38,0.04,Large,25.39,Low,,TRUE,8.08,0,0,0,1,1,2,
Mirae Asset Nifty Sdl June 2028 Index Fund Reg(G),Mahendra Kumar Jajoo,Dt M&Ld,69.9,0.48,Open Ended,31-03-2023,Nifty Sdl June 2028 Index,0.43,1.37,4.13,8.27,,,,,,,, ,2.92,3.44,7.17,0.38,1.18,2.55,8.27,0.06,Small,17.23,Low,,TRUE,5.3,0,0,0,1,1,1.98,
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 Etf,Ekta Gala,Eq Etf,424,0.39,Open Ended,23-02-2024,Nifty Smallcap250 Momentum Quality 100 Tri,-1.08,-5.58,-2.31,,,,,,0.5,23.11,76.31,Financials,,,,,,1.65,,,Mid,,,,FALSE,,0,1,0,1,0,-2.99,
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 Etf Fof Reg(G),Ekta Gala,Fof Dom,188.2,0.72,Open Ended,01-03-2024,Nifty Smallcap250 Momentum Quality 100 Tri,-0.85,-5.4,-2.67,,,,,,,,, ,,,,,,1.63,,,Mid,,,,FALSE,,0,1,0,1,0,-2.97,
Mirae Asset Nifty Total Market Index Fund Reg(G),Ekta Gala,Eq Indx,31.5,0.92,Open Ended,28-10-2024,Nifty Total Market Tri,-0.91,,,,,,,,67.66,17.78,14.02,Financials,,,,,,0.97,,,Small,,,,FALSE,,0,0,0,1,0,-0.91,
Mirae Asset Nifty200 Alpha 30 Etf Fof Reg(G),Ekta Gala,Fof Dom,188,0.71,Open Ended,26-07-2024,Nifty200 Alpha 30 Tri,0.58,-8.43,,,,,,,,,, ,,,,,,1.22,,,Mid,,,,FALSE,,0,0,0,1,0,-3.92,
Mirae Asset Nifty500 Multicap 50 - 25 - 25 Etf,Ekta Gala,Eq Etf,37.4,0.16,Open Ended,30-08-2024,Nifty500 Multicap 50 - 25 - 25 Tri,-0.25,-6.29,,,,,,,49.92,24.92,24.94,Financials,,,,,,1.13,,,Small,,,,FALSE,,0,0,0,1,0,-3.27,
Mirae Asset Nyse Fang+ Etf,Siddharth Srivastava,Eq Etf,2559.2,0.66,Open Ended,07-05-2021,Nyse Fang+ Tri,7.2,17.4,18.73,54.3,73.49,26.1,,,,,, ,45.03,1.78,2.93,-0.08,25.19,4.45,40.2,0.01,Mega,82.27,High,1.04,TRUE,2.36,0,1,1,1,1,14.44,26.1
Mirae Asset Nyse Fang+Etf Fof Reg(G),Ekta Gala,Fof Ovr,1694.4,0.45,Open Ended,10-05-2021,Nyse Fang+ Tri,22.27,43.51,44.07,85.87,88.82,33.69,,,,,, ,61.34,2.85,5.51,0.88,22.41,4.44,59.78,0.01,Large,190.82,High,1.5,TRUE,4.18,0,1,1,1,1,36.62,33.69
Mirae Asset Overnight Fund Reg(G),Abhishek Iyer,Dt On,1743.3,0.17,Open Ended,15-10-2019,Nifty 1D Rate Index,0.55,1.61,3.25,6.65,6.63,5.97,4.89,,,,, ,0.28,30.21,2.12,,0.01,6.01,5.84,0.03,Large,39.12,Low,597,FALSE,16.16,0,0,0,0,1,1.8,5.43
Mirae Asset S&P 500 Top 50 Etf,Siddharth Srivastava,Eq Etf,793.3,0.65,Open Ended,21-09-2021,S&P 500 Top 50 Tri,1.85,7.32,12.04,36.45,36.73,16.17,,,,,, ,29.81,1.93,3.13,0.01,15.43,4.07,26.31,0.02,Large,56.08,High,1.05,TRUE,2.53,0,1,1,1,1,7.07,16.17
Mirae Asset S&P 500 Top 50 Etf Fof Reg(G),Ekta Gala,Fof Ovr,643.4,0.49,Open Ended,22-09-2021,S&P 500 Top 50 Tri,9.22,32.37,34,64.15,49.12,22.94,,,,,, ,50.45,1.82,3.14,0.62,28.65,4.07,43.54,0.01,Large,130.92,High,0.8,TRUE,2.48,0,1,1,1,1,25.2,22.94
Mirae Asset Short Duration Fund Reg(G),Basant Bafna,Dt Sd,365.4,1.12,Open Ended,16-03-2018,Crisil Short Duration Debt Index,0.55,1.43,3.82,7.56,6.93,5.63,5.68,,,,, ,2.47,5.35,11.45,0.33,0.65,7.59,6.29,0.15,Mid,6.75,Low,8.66,TRUE,8.4,0,0,0,0,1,1.93,5.65
Mirae Asset Silver Etf,Ritesh Patel,Gold Etf,88.6,0.39,Open Ended,09-06-2023,Silver,-4.2,-4.91,-2.58,15.4,,,,,,,, ,12.02,0.6,1.03,0.57,22.74,2.36,15.4,0.03,Small,39.49,High,,TRUE,0.82,0,1,1,1,1,-3.9,
Mirae Asset Small Cap Fund Reg(G),Varun Goel,Eq Sml,,,Open Ended,,Nifty Smallcap 250 Tri,,,,,,,,,,,, ,,,,,,,,,,,,,FALSE,,0,0,0,0,0,,
Mirae Asset Ultra Short Duration Fund Reg(G),Basant Bafna,Dt Usd,1735.6,0.45,Open Ended,07-10-2020,Nifty Ultra Short Duration Debt Index,0.64,1.81,3.69,7.61,7.37,6.47,,,,,, ,3.48,11.57,22.98,0.03,0.31,5.03,7.04,0.06,Large,16.91,Low,20.87,TRUE,17.27,0,0,0,0,1,2.05,6.47
Motilal Oswal 5 Year G Sec Fof Reg(G),Rakesh Shetty,Fof Dom,29.3,0.2,Open Ended,06-10-2021,Nifty 5 Yr Benchmark G Sec Index Tri,0.64,1.57,4.44,7.65,7.28,5.48,,,,,, ,3.5,0.65,1.11,0.2,6.3,4.03,6.56,0.03,Small,38.25,Medium,0.87,TRUE,0.88,0,0,0,1,1,2.22,5.48
Motilal Oswal Arbitrage Fund Reg(G),Vishal Ashar,Hy Arb,,,Open Ended,23-12-2024,Nifty 50 Arbitrage Tri,,,,,,,,,,,, ,,,,,,0.81,,,,,,,FALSE,,0,0,0,1,0,,
Motilal Oswal Asset Allocation Passive Fof Aggressive Reg(G),Bhalchandra Shinde,Fof Dom,68.8,0.52,Open Ended,12-03-2021,Nifty 500 Tri,-0.64,-2.27,3.01,16.47,18.84,12.63,,,,,, ,8.19,1.38,2.1,1.31,8.74,4.6,14.55,0.03,Small,31.67,Medium,1.45,FALSE,1.74,0,1,1,1,1,0.03,12.63
Motilal Oswal Asset Allocation Passive Fof Conservative Reg(G),Bhalchandra Shinde,Fof Dom,43.3,0.49,Open Ended,12-03-2021,Nifty 5 Yr Benchmark G Sec Index Tri,-0.14,-0.87,3.5,12.99,14.39,10.03,,,,,, ,6.2,1.4,2.21,0.89,6.32,4.6,11.51,0.04,Small,26.51,Medium,1.59,TRUE,1.8,0,0,0,1,1,0.83,10.03
Motilal Oswal Balanced Advantage Fund Reg(G),Santosh Singh,Hy Dyn,1145.1,2.2,Open Ended,27-09-2016,Crisil Hybrid 50+50 Moderate Index,-1.64,-10.2,-2.58,8.83,16.84,10.63,9.6,,14.97,21.03,47.89,Financials,2.82,0.52,0.83,1.05,11.32,9.06,9.69,0.25,Large,4.01,Medium,0.94,FALSE,0.68,0,1,0,0,0,-4.81,10.12
Motilal Oswal Bse Enhanced Value Etf,Swapnil P Mayekar,Eq Etf,137.5,0.3,Open Ended,22-08-2022,Bse Enhanced Value Index Tri,-4.08,-13.45,-8.66,19.83,39.13,,,,68.38,30.72,0.54,Financials,11.94,0.71,1,1.4,26.02,3.15,19.83,0.02,Mid,66.1,High,,FALSE,0.86,0,1,1,1,1,-8.73,
Motilal Oswal Bse Enhanced Value Index Fund Reg(G),Swapnil P Mayekar,Eq Indx,834.3,1.1,Open Ended,22-08-2022,Bse Enhanced Value Index Tri,-4.13,-13.6,-9.02,18.36,37.34,,,,68.3,30.68,0.54,Financials,10.18,0.67,0.95,1.38,25.79,3.15,18.36,0.06,Large,16.69,High,,FALSE,0.81,0,1,1,1,1,-8.92,
Motilal Oswal Bse Financials Ex Bank 30 Index Fund Reg(G),Swapnil P Mayekar,Eq Indx,18.9,1.01,Open Ended,29-07-2022,Bse Financials Ex Bank 30 Tri,-0.45,-9.93,-1.11,12.88,23.49,,,,69.98,27.29,2.23,Financials,4.99,0.53,0.78,1.12,20.16,3.22,12.88,0.08,Small,12.75,High,,FALSE,0.66,0,1,0,1,1,-3.83,
Motilal Oswal Bse Healthcare Etf,Swapnil P Mayekar,Eq Etf,32.3,0.22,Open Ended,29-07-2022,Bse Health Care Tri,4.08,2.69,22.23,43.82,41.36,,,,37.77,33.31,28.76,Healthcare,31.9,2.59,4.72,0.47,13.18,3.22,43.82,0.01,Small,199.18,Medium,,TRUE,3.66,0,1,1,1,1,9.67,
Motilal Oswal Bse Low Volatility Etf,Swapnil P Mayekar,Eq Etf,85.9,0.37,Open Ended,23-03-2022,Bse Low Volatility Index Tri,-0.29,-10.65,-3.93,11.63,21.28,,,,74.6,19.93,5.46,Fmcg,4.59,0.68,1.16,0.69,11.53,3.57,11.63,0.03,Small,31.43,Medium,,TRUE,0.92,0,1,0,1,1,-4.96,
Motilal Oswal Bse Low Volatility Index Fund Reg(G),Swapnil P Mayekar,Eq Indx,102.3,1.03,Open Ended,23-03-2022,Bse Low Volatility Index Tri,-0.35,-10.8,-4.28,10.15,20,,,,74.65,19.92,5.47,Fmcg,2.97,0.56,0.94,0.69,11.62,3.57,10.15,0.1,Mid,9.85,Medium,,TRUE,0.75,0,1,0,1,1,-5.14,
Motilal Oswal Bse Quality Etf,Swapnil P Mayekar,Eq Etf,18,0.3,Open Ended,22-08-2022,Bse Quality Index Tri,-1.7,-13.31,-7.18,16.33,25.61,,,,76.89,19.49,3.63,Fmcg,8.82,0.8,1.21,0.92,16.31,3.15,16.33,0.02,Small,54.43,High,,TRUE,1,0,1,1,1,1,-7.4,
Motilal Oswal Bse Quality Index Fund Reg(G),Swapnil P Mayekar,Eq Indx,37.3,1.03,Open Ended,22-08-2022,Bse Quality Index Tri,-1.74,-13.27,-7.45,15.28,24.47,,,,75.83,19.08,3.57,Fmcg,7.61,0.76,1.14,0.92,16.2,3.15,15.28,0.07,Small,14.83,High,,TRUE,0.95,0,1,1,1,1,-7.49,
Motilal Oswal Business Cycle Fund Reg(G),Ajay Khandelwal,Eq Them,1352.8,2.08,Open Ended,27-08-2024,Nifty 500 Tri,4.29,12.8,,,,,,,37.92,28.15,26.06,Retail And Other Services,,,,,,1.14,,,Large,,,,FALSE,,0,1,0,1,0,8.54,
Motilal Oswal Developed Market Ex Us Etfs Fof Reg(G),Sunil Sawant,Fof Ovr,30.3,0.57,Open Ended,21-09-2023,S&P Developed Ex U.S. Bmi Total Return Index,-2.09,-5.82,0.05,4.43,,,,,,,, ,-2.12,0.09,0.16,1.12,12.51,2.07,4.43,0.13,Small,7.77,Medium,,FALSE,0.12,0,0,0,1,1,-2.62,
